number,train_f1score,valid_f1score,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,system_attrs_nsga2:generation,state
0,0.9411634678218215,0.5141929435850461,2024-10-08 13:57:07.401709,2024-10-08 14:07:32.244448,0 days 00:10:24.842739,0.0699866918305476,8,0.8742144637669689,299,0,COMPLETE
1,0.5440985654510482,0.5263098217855977,2024-10-08 14:07:32.245028,2024-10-08 14:08:44.653523,0 days 00:01:12.408495,0.08348947560892629,3,0.6079727772214795,83,0,COMPLETE
2,0.5396392077907363,0.5168616244840681,2024-10-08 14:08:44.654437,2024-10-08 14:13:02.348520,0 days 00:04:17.694083,0.01499269703035155,4,0.5585524482559776,230,0,COMPLETE
3,0.6468238216061956,0.536607535095004,2024-10-08 14:13:02.349202,2024-10-08 14:17:20.333011,0 days 00:04:17.983809,0.07287002097372712,5,0.7419352639504808,191,0,COMPLETE
4,0.9110920342431446,0.5210285490056091,2024-10-08 14:17:20.333368,2024-10-08 14:26:07.655610,0 days 00:08:47.322242,0.09769049948208294,7,0.7909328005197502,288,0,COMPLETE
5,0.6145515600927152,0.5348505799099474,2024-10-08 14:26:07.655984,2024-10-08 14:31:04.952968,0 days 00:04:57.296984,0.07327216918976312,4,0.832807532163585,266,0,COMPLETE
6,0.5769850419323025,0.5308943283165013,2024-10-08 14:31:04.953389,2024-10-08 14:38:01.823775,0 days 00:06:56.870386,0.0390255398806888,4,0.9174644455664842,281,0,COMPLETE
7,0.795517336993122,0.534330565853949,2024-10-08 14:38:01.824166,2024-10-08 14:57:48.761016,0 days 00:19:46.936850,0.007684461831556123,10,0.9583102927514848,239,0,COMPLETE
8,0.5670744966709782,0.531669493718234,2024-10-08 14:57:48.761956,2024-10-08 15:08:30.004534,0 days 00:10:41.242578,0.014146033259173876,5,0.7364511345511564,246,0,COMPLETE
9,0.6258152554644354,0.5366779416011845,2024-10-08 15:08:30.005320,2024-10-08 15:11:33.700318,0 days 00:03:03.694998,0.013218539967236802,8,0.9234701678321251,58,0,COMPLETE
10,0.6391630778046754,0.5336230549282166,2024-10-08 15:11:33.701095,2024-10-08 15:15:59.210923,0 days 00:04:25.509828,0.06378412660848029,5,0.740227524691063,195,0,COMPLETE
11,0.5069058174905127,0.5018624614875987,2024-10-08 15:15:59.211274,2024-10-08 15:18:18.587389,0 days 00:02:19.376115,0.0020913598836108764,4,0.6831863899781148,125,0,COMPLETE
12,0.7814443620641705,0.5362815589378136,2024-10-08 15:18:18.587799,2024-10-08 15:27:36.091144,0 days 00:09:17.503345,0.02660750487480286,8,0.5356071607778772,268,0,COMPLETE
13,0.7112009521196464,0.5374407698402267,2024-10-08 15:27:36.091606,2024-10-08 15:35:25.242873,0 days 00:07:49.151267,0.044258082472027074,6,0.6548985955727062,294,0,COMPLETE
14,0.5462404915000636,0.5287695144675265,2024-10-08 15:35:25.243232,2024-10-08 15:37:20.634345,0 days 00:01:55.391113,0.057491680054305834,3,0.8212076804176125,133,0,COMPLETE
15,0.8947041134948693,0.5272926014389627,2024-10-08 15:37:20.635021,2024-10-08 15:42:09.391944,0 days 00:04:48.756923,0.08261313221480428,9,0.9937279929876248,124,0,COMPLETE
16,0.7216850963526814,0.5307032250730944,2024-10-08 15:42:09.392695,2024-10-08 15:49:25.293260,0 days 00:07:15.900565,0.008649085394799302,9,0.5244827273093153,187,0,COMPLETE
17,0.7335721078260523,0.531741685990199,2024-10-08 15:49:25.293641,2024-10-08 15:52:15.298853,0 days 00:02:50.005212,0.09715175928084234,6,0.9675188261742316,162,0,COMPLETE
18,0.8068501807383808,0.5310310838011775,2024-10-08 15:52:15.299210,2024-10-08 15:52:18.519367,0 days 00:00:03.220157,0.05742866098947423,7,0.577287223056073,244,0,COMPLETE
19,0.836958784736817,0.532048356626719,2024-10-08 15:52:18.519725,2024-10-08 15:52:22.015406,0 days 00:00:03.495681,0.05029609400012953,8,0.5563121019927195,199,0,COMPLETE
20,0.8019972637247923,0.5302568208776093,2024-10-08 15:52:22.015761,2024-10-08 15:52:23.340341,0 days 00:00:01.324580,0.08880472473410833,8,0.8920343805992743,95,0,COMPLETE
21,0.8587240971716534,0.5289804101550187,2024-10-08 15:52:23.340689,2024-10-08 15:52:25.689318,0 days 00:00:02.348629,0.056624534708562574,9,0.677104760341481,131,0,COMPLETE
22,0.6035419334376539,0.5400567362217018,2024-10-08 15:52:25.689684,2024-10-08 15:52:27.354820,0 days 00:00:01.665136,0.07016013437020037,4,0.8265961926840348,232,0,COMPLETE
23,0.615446108848458,0.5306339145154546,2024-10-08 15:52:27.355170,2024-10-08 15:52:28.973103,0 days 00:00:01.617933,0.0931793625478853,4,0.6300283602055822,205,0,COMPLETE
24,0.5480091568013377,0.5220650810927108,2024-10-08 15:52:28.973445,2024-10-08 15:52:30.159670,0 days 00:00:01.186225,0.03369440864595436,4,0.9518706124810348,134,0,COMPLETE
25,0.6724064612874855,0.5389557389670832,2024-10-08 15:52:30.159980,2024-10-08 15:52:32.216906,0 days 00:00:02.056926,0.0724817058721534,5,0.7865446863548275,234,0,COMPLETE
26,0.9384740343205277,0.5185677619762906,2024-10-08 15:52:32.217257,2024-10-08 15:52:35.850394,0 days 00:00:03.633137,0.08540756494885977,8,0.5652595504661115,235,0,COMPLETE
27,0.6987431212981853,0.5361498549313415,2024-10-08 15:52:35.850748,2024-10-08 15:52:37.977905,0 days 00:00:02.127157,0.09374966342190862,5,0.8355313455955404,231,0,COMPLETE
28,0.5328615519235532,0.5118375395656954,2024-10-08 15:52:37.978253,2024-10-08 15:52:38.551181,0 days 00:00:00.572928,0.03263494794606648,3,0.7626962649525957,97,0,COMPLETE
29,0.5049167751457928,0.4974707478552718,2024-10-08 15:52:38.551468,2024-10-08 15:52:39.818114,0 days 00:00:01.266646,0.001090003079677647,3,0.7693113637629982,189,0,COMPLETE
30,0.5287729032975094,0.5033459490722689,2024-10-08 15:52:39.818425,2024-10-08 15:52:41.727636,0 days 00:00:01.909211,0.007955257637221082,4,0.6660163532530446,238,0,COMPLETE
31,0.9787633709866381,0.5205608044820189,2024-10-08 15:52:41.727990,2024-10-08 15:52:47.347164,0 days 00:00:05.619174,0.05977538976411079,10,0.5626067409954583,211,0,COMPLETE
32,0.7856966267744204,0.5335728116554889,2024-10-08 15:52:47.347547,2024-10-08 15:52:49.792198,0 days 00:00:02.444651,0.09040493754005155,6,0.6734141079471794,233,0,COMPLETE
33,0.5309070730475599,0.5092655281092504,2024-10-08 15:52:49.792560,2024-10-08 15:52:51.615891,0 days 00:00:01.823331,0.00984912808426083,3,0.690733984932973,261,0,COMPLETE
34,0.5645461637678263,0.5190267165517559,2024-10-08 15:52:51.616241,2024-10-08 15:52:52.399541,0 days 00:00:00.783300,0.0011455840572002843,7,0.6391976582804922,60,0,COMPLETE
35,0.6904024758305248,0.5385457372374081,2024-10-08 15:52:52.399903,2024-10-08 15:52:54.448593,0 days 00:00:02.048690,0.08463752208765031,5,0.723872783145403,240,0,COMPLETE
36,0.8285941532345091,0.5286136599407574,2024-10-08 15:52:54.448949,2024-10-08 15:52:58.539810,0 days 00:00:04.090861,0.04016711800220561,8,0.7909156205464412,251,0,COMPLETE
37,0.803076501615166,0.5399743592208223,2024-10-08 15:52:58.540193,2024-10-08 15:53:01.930809,0 days 00:00:03.390616,0.08182098781742336,6,0.8064827183758972,298,0,COMPLETE
38,0.6401339422945918,0.5367903120162986,2024-10-08 15:53:01.931167,2024-10-08 15:53:06.451767,0 days 00:00:04.520600,0.009686011750056334,7,0.580331815896451,276,0,COMPLETE
39,0.7345353532967676,0.539024823038366,2024-10-08 15:53:06.452155,2024-10-08 15:53:09.000636,0 days 00:00:02.548481,0.07145318614018284,6,0.5585148923981624,210,0,COMPLETE
40,0.7578020560898384,0.5330875375428625,2024-10-08 15:53:09.001014,2024-10-08 15:53:12.710959,0 days 00:00:03.709945,0.027532638090089996,8,0.5804267935183796,212,0,COMPLETE
41,0.5603888351449335,0.5333678403962123,2024-10-08 15:53:12.711395,2024-10-08 15:53:13.327894,0 days 00:00:00.616499,0.0960845986351978,3,0.8733089926877701,139,0,COMPLETE
42,0.9930991339257625,0.5169286382421606,2024-10-08 15:53:13.328250,2024-10-08 15:53:19.181864,0 days 00:00:05.853614,0.06741433201530245,10,0.5827011375096942,260,0,COMPLETE
43,0.8647248367607517,0.5246568457708373,2024-10-08 15:53:19.182265,2024-10-08 15:53:22.853548,0 days 00:00:03.671283,0.08129211921779837,7,0.8411973727769417,248,0,COMPLETE
44,0.7709754939255253,0.5331363184484006,2024-10-08 15:53:22.853918,2024-10-08 15:53:26.278225,0 days 00:00:03.424307,0.03223016058421735,8,0.6295548865750616,207,0,COMPLETE
45,0.5590450702351275,0.5282378634256757,2024-10-08 15:53:26.278584,2024-10-08 15:53:27.972857,0 days 00:00:01.694273,0.05073816776594457,3,0.778530340624852,259,0,COMPLETE
46,0.5094070308705003,0.5026066681958563,2024-10-08 15:53:27.973214,2024-10-08 15:53:29.903944,0 days 00:00:01.930730,0.004290072111128095,4,0.887590390356871,192,0,COMPLETE
47,0.6409187627917238,0.5373732271284105,2024-10-08 15:53:29.904324,2024-10-08 15:53:34.319499,0 days 00:00:04.415175,0.00973970912133917,7,0.6527546485936393,278,0,COMPLETE
48,0.8368963508092521,0.5332656144435585,2024-10-08 15:53:34.319873,2024-10-08 15:53:39.062065,0 days 00:00:04.742192,0.039886997936869874,8,0.5918446293360906,266,0,COMPLETE
49,0.6085758721665135,0.5350425287171763,2024-10-08 15:53:39.062431,2024-10-08 15:53:41.822157,0 days 00:00:02.759726,0.017378574468961565,6,0.7247942453412208,221,0,COMPLETE
50,0.8775724235523652,0.5294050841257486,2024-10-08 15:53:41.822515,2024-10-08 16:02:27.656810,0 days 00:08:45.834295,0.09374966342190862,7,0.7917368535620732,231,1,COMPLETE
51,0.6610730315698866,0.5377176644973144,2024-10-08 16:02:27.657606,2024-10-08 16:09:56.246172,0 days 00:07:28.588566,0.0673239971083866,5,0.5585524482559776,230,1,COMPLETE
52,0.8565343379660831,0.5339323839871758,2024-10-08 16:09:56.247153,2024-10-08 16:17:18.820547,0 days 00:07:22.573394,0.056624534708562574,9,0.7247942453412208,131,1,COMPLETE
53,0.8010857905475596,0.526787314952001,2024-10-08 16:17:18.820948,2024-10-08 16:27:41.695107,0 days 00:10:22.874159,0.0390255398806888,8,0.6295548865750616,207,1,COMPLETE
54,0.9036311323362198,0.516674902533206,2024-10-08 16:27:41.695881,2024-10-08 16:39:18.849489,0 days 00:11:37.153608,0.07016013437020037,8,0.7331122753111574,232,1,COMPLETE
55,0.6179721422487007,0.5374442881487808,2024-10-08 16:39:18.849884,2024-10-08 16:46:24.570922,0 days 00:07:05.721038,0.07327216918976312,4,0.5804267935183796,266,1,COMPLETE
56,0.8565040696578728,0.5281747470369824,2024-10-08 16:46:24.571335,2024-10-08 17:01:23.238914,0 days 00:14:58.667579,0.04016711800220561,8,0.8742144637669689,299,1,COMPLETE
57,0.7943584740214436,0.5313323709817896,2024-10-08 17:01:23.239807,2024-10-08 17:16:12.931436,0 days 00:14:49.691629,0.007684461831556123,10,0.9799531830614958,239,1,COMPLETE
58,0.8181987091492416,0.5276331039565065,2024-10-08 17:16:12.931902,2024-10-08 17:34:43.337652,0 days 00:18:30.405750,0.007684461831556123,10,0.8296826649573219,299,1,COMPLETE
59,0.5462404915000636,0.5287695144675265,2024-10-08 17:34:43.338719,2024-10-08 17:37:30.790488,0 days 00:02:47.451769,0.057491680054305834,3,0.8212076804176125,133,1,COMPLETE
60,0.5762867104424422,0.5365513208655232,2024-10-08 17:37:30.790936,2024-10-08 17:42:15.741173,0 days 00:04:44.950237,0.09769049948208294,3,0.8683699030193337,228,1,COMPLETE
61,0.6065732468946119,0.5400402173910442,2024-10-08 17:42:15.741591,2024-10-08 17:48:39.632201,0 days 00:06:23.890610,0.07016013437020037,4,0.723872783145403,240,1,COMPLETE
62,0.8819113335072831,0.5160887676306329,2024-10-08 17:48:39.632612,2024-10-08 17:58:57.200410,0 days 00:10:17.567798,0.09040493754005155,7,0.5652595504661115,233,1,COMPLETE
63,0.8776731398983347,0.5302497154861868,2024-10-08 17:58:57.201232,2024-10-08 18:13:29.576452,0 days 00:14:32.375220,0.044258082472027074,8,0.7909156205464412,290,1,COMPLETE
64,0.7043563177362313,0.5346740400651492,2024-10-08 18:13:29.577413,2024-10-08 18:25:08.618539,0 days 00:11:39.041126,0.013218539967236802,8,0.5924405432729068,233,1,COMPLETE
65,0.557263839238291,0.5293507455348972,2024-10-08 18:25:08.619620,2024-10-08 18:32:43.598840,0 days 00:07:34.979220,0.01047613204880335,5,0.7419352639504808,233,1,COMPLETE
66,0.808499728829964,0.5292177097686555,2024-10-08 18:32:43.599669,2024-10-08 18:37:25.870014,0 days 00:04:42.270345,0.02660750487480286,10,0.5356071607778772,76,1,COMPLETE
67,0.8172258218756574,0.5269285885044348,2024-10-08 18:37:25.870387,2024-10-08 18:48:56.221180,0 days 00:11:30.350793,0.05742866098947423,7,0.577287223056073,260,1,COMPLETE
68,0.5769850419323025,0.5308943283165013,2024-10-08 18:48:56.222035,2024-10-08 18:56:26.602909,0 days 00:07:30.380874,0.0390255398806888,4,0.9174644455664842,281,1,COMPLETE
69,0.6391630778046754,0.5336230549282166,2024-10-08 18:56:26.603759,2024-10-08 19:02:46.633629,0 days 00:06:20.029870,0.06378412660848029,5,0.740227524691063,195,1,COMPLETE
70,0.9719899551600092,0.5193627123890974,2024-10-08 19:02:46.634063,2024-10-08 19:17:39.279667,0 days 00:14:52.645604,0.07327216918976312,9,0.832807532163585,266,1,COMPLETE
71,0.5780962331446424,0.5314788278021404,2024-10-08 19:17:39.280109,2024-10-08 19:21:17.918523,0 days 00:03:38.638414,0.017378574468961565,6,0.8920343805992743,95,1,COMPLETE
72,0.6401339422945918,0.5367903120162986,2024-10-08 19:21:17.918940,2024-10-08 19:33:32.286478,0 days 00:12:14.367538,0.009686011750056334,7,0.580331815896451,276,1,COMPLETE
73,0.8611527170811684,0.5349423480878434,2024-10-08 19:33:32.287518,2024-10-08 19:38:51.290942,0 days 00:05:19.003424,0.08182098781742336,9,0.8064827183758972,95,1,COMPLETE
74,0.803076501615166,0.5399743592208223,2024-10-08 19:38:51.291371,2024-10-08 19:50:16.598921,0 days 00:11:25.307550,0.08182098781742336,6,0.8064827183758972,298,1,COMPLETE
75,0.8750471451220444,0.52558195349315,2024-10-08 19:50:16.606306,2024-10-08 20:07:27.341956,0 days 00:17:10.735650,0.017511372081297286,10,0.6527546485936393,278,1,COMPLETE
76,0.5681567063188404,0.5323462481344585,2024-10-08 20:07:27.342765,2024-10-08 20:13:36.585321,0 days 00:06:09.242556,0.0390255398806888,4,0.9646323844214233,231,1,COMPLETE
77,0.8913450521267424,0.5301116204417187,2024-10-08 20:13:36.586106,2024-10-08 20:20:55.192403,0 days 00:07:18.606297,0.07145318614018284,9,0.677104760341481,131,1,COMPLETE
78,0.6871256240818737,0.5451832472698991,2024-10-08 20:20:55.193146,2024-10-08 20:31:39.690911,0 days 00:10:44.497765,0.0390255398806888,6,0.9174644455664842,281,1,COMPLETE
79,0.9966554219284158,0.5148714906038628,2024-10-08 20:31:39.691326,2024-10-08 20:45:57.725945,0 days 00:14:18.034619,0.09374966342190862,10,0.6134510579679664,231,1,COMPLETE
80,0.6900437487086223,0.5380956859578158,2024-10-08 20:45:57.726380,2024-10-08 20:51:00.695157,0 days 00:05:02.968777,0.08253672288606748,6,0.8064827183758972,133,1,COMPLETE
81,0.970291488619906,0.524559917196743,2024-10-08 20:51:00.695591,2024-10-08 21:01:58.911655,0 days 00:10:58.216064,0.06741433201530245,10,0.5827011375096942,177,1,COMPLETE
82,0.5126417253453431,0.5048081649095659,2024-10-08 21:01:58.912096,2024-10-08 21:04:34.283156,0 days 00:02:35.371060,0.009479475589963753,4,0.6660163532530446,97,1,COMPLETE
83,0.5877780348322433,0.5317423555126091,2024-10-08 21:04:34.283886,2024-10-08 21:10:06.286998,0 days 00:05:32.003112,0.06378412660848029,4,0.9254660312959251,208,1,COMPLETE
84,0.5487310343837959,0.5275633896168024,2024-10-08 21:10:06.287399,2024-10-08 21:17:51.768908,0 days 00:07:45.481509,0.007684461831556123,5,0.7419352639504808,239,1,COMPLETE
85,0.7361049847050394,0.5306691303735035,2024-10-08 21:17:51.769402,2024-10-08 21:24:49.810098,0 days 00:06:58.040696,0.032851457436789536,8,0.5918446293360906,139,1,COMPLETE
86,0.7814443620641705,0.5362815589378136,2024-10-08 21:24:49.814131,2024-10-08 21:38:16.157801,0 days 00:13:26.343670,0.02660750487480286,8,0.5356071607778772,268,1,COMPLETE
87,0.5683264598425708,0.5121027808062508,2024-10-08 21:38:16.158303,2024-10-08 21:48:34.901589,0 days 00:10:18.743286,0.0011455840572002843,7,0.6391976582804922,233,1,COMPLETE
88,0.6264032383089317,0.5329559114249847,2024-10-08 21:48:34.902330,2024-10-08 21:56:35.355232,0 days 00:08:00.452902,0.04365416598890447,5,0.6609220132487724,246,1,COMPLETE
89,0.5603004418204607,0.5317280213290398,2024-10-08 21:56:35.355655,2024-10-08 21:59:44.853371,0 days 00:03:09.497716,0.08878713458912414,3,0.5356071607778772,151,1,COMPLETE
90,0.6905323798906914,0.5360383033893137,2024-10-08 21:59:44.854124,2024-10-08 22:07:19.443233,0 days 00:07:34.589109,0.08455595399151476,5,0.7865446863548275,234,1,COMPLETE
91,0.8702135265049714,0.5318443653118107,2024-10-08 22:07:19.443658,2024-10-08 22:22:01.349897,0 days 00:14:41.906239,0.044258082472027074,8,0.9937279929876248,294,1,COMPLETE
92,0.7826587348568262,0.5383104243029985,2024-10-08 22:22:01.350355,2024-10-08 22:30:56.389107,0 days 00:08:55.038752,0.09040493754005155,6,0.723872783145403,233,1,COMPLETE
93,0.7593351728302402,0.535563699477009,2024-10-08 22:30:56.389515,2024-10-08 22:41:30.250999,0 days 00:10:33.861484,0.027532638090089996,8,0.5827011375096942,212,1,COMPLETE
94,0.7863394760513628,0.5322746551213965,2024-10-08 22:41:30.251441,2024-10-08 22:55:18.444122,0 days 00:13:48.192681,0.027532638090089996,8,0.732493334469099,276,1,COMPLETE
95,0.6141306575417174,0.5414829783814165,2024-10-08 22:55:18.444901,2024-10-08 23:00:26.603981,0 days 00:05:08.159080,0.03369440864595436,6,0.9518706124810348,134,1,COMPLETE
96,0.5302972909536846,0.5103405907229247,2024-10-08 23:00:26.604657,2024-10-08 23:03:19.789353,0 days 00:02:53.184696,0.017378574468961565,3,0.8733089926877701,139,1,COMPLETE
97,0.6609058086970172,0.5273018086717255,2024-10-08 23:03:19.790111,2024-10-08 23:11:25.235235,0 days 00:08:05.445124,0.00973970912133917,8,0.6527546485936393,162,1,COMPLETE
98,0.6987431212981853,0.5361498549313415,2024-10-08 23:11:25.238757,2024-10-08 23:18:55.477703,0 days 00:07:30.238946,0.09374966342190862,5,0.8355313455955404,231,1,COMPLETE
